child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,testlang_lang,raw_lang,perco_lang,testlang_math,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,numante,literate_r2,levlwrit_r2,levlread_r2,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,entype_r4,timesch_r4,childloc_r4,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,rural_3,IMTI,E_is
21025,Male,Oromo,Amharic,7,1,6,Amharic,183,4,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-1.19,-0.04,-1.92,0,0,0,0,48,2,1,1,1,NA,1,3,4,1,7,0.5492063760757446,0.2976190447807312,0.75,0.6000000238418579,1,1,1,0,1,1,4,NA,NA,0,1,4,Addis Ababa,NA,13,NA,13,0,0,NA,1,0,0,0,0,0
21026,Female,Oromo,Amharic,7,1,9,Amharic,170,3,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-1.43,-1.6300000000000001,-0.62,0,0,0,0,40,2,1,1,1,NA,0,2,3,1,4,0.5166666507720947,0.75,0.5,0.30000001192092896,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,Addis Ababa,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
21027,Female,Amhara,Amharic,7,1,7,Amharic,183,9,Amharic,Amharic,21,87.5,Amharic,16,57.14285659790039,Amharic,1,-1.11,-0.31,-1.45,0,0,0,3,35,2,1,0,0,NA,1,3,4,1,10,0.4055555462837219,0.2666666805744171,0.75,0.20000000298023224,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,Addis Ababa,10,10,10,10,3,NA,NA,NA,NA,NA,0,6,0.75
21028,Female,Oromo,Amharic,7,1,5,Amharic,146,4,Amharic,Amharic,16,66.66666412353516,Amharic,20,71.42857360839844,Amharic,1,-0.47000000000000003,0.4,-1.11,0,0,0,3,37,2,1,0,1,NA,1,3,4,1,3,0.43518519401550293,0.3055555522441864,0.5,0.5,1,1,0,0,0,0,4,20,1,NA,NA,NA,Addis Ababa,10,10,10,10,3,NA,NA,NA,NA,NA,0,0,0
21029,Female,Amhara,Amharic,2,1,6,Amharic,185,3,Amharic,Amharic,18,75,Amharic,10,35.71428680419922,Amharic,1,-0.54,0.8300000000000001,-1.6400000000000001,0,0,0,12,28,2,1,0,1,NA,0,3,2,1,4,0.6166666746139526,0.5,0.75,0.6000000238418579,1,1,1,0,1,0,NA,NA,1,NA,NA,NA,Addis Ababa,10,10,10,10,12,NA,NA,NA,NA,NA,0,6,0.75
21030,Female,Gurage,Afaan Oromo,7,1,11,Amharic,124,1,NA,NA,NA,NA,NA,NA,NA,Amharic,1,-1.3,0.14,-2.23,0,0,1,0,40,2,4,1,1,NA,0,2,2,1,5,0.35555556416511536,0.3166666626930237,0.25,0.5,1,0,0,0,0,0,NA,NA,NA,10,1,13,Addis Ababa,NA,NA,NA,NA,0,1,1,NA,1,NA,0,0,0
21031,Female,Oromo,Wolayta,7,1,6,Amharic,171,8,Amharic,Amharic,21,87.5,Amharic,25,89.28571319580078,Amharic,1,-1.1400000000000001,-1.52,-0.32,0,0,0,4,30,2,1,0,0,NA,0,2,4,1,3,0.4185185134410858,0.3055555522441864,0.75,0.20000000298023224,1,1,1,0,0,0,1,NA,1,8,1,13,Addis Ababa,12,13,12,13,4,1,1,NA,1,NA,0,0,0
21032,Male,Oromo,Amharic,7,1,7,Amharic,186,9,Amharic,Amharic,19,79.16666412353516,Amharic,21,75,Amharic,1,-2.54,-1.97,-1.79,1,0,0,3,37,2,1,0,0,NA,1,3,4,1,8,0.4972222149372101,0.2916666567325592,0.5,0.699999988079071,1,0,1,0,0,0,4,30,1,0,NA,NA,Addis Ababa,11,14,11,14,3,0,0,0,0,0,0,0,0
21033,Male,Oromo,Amharic,6,1,7,Amharic,153,6,Amharic,Amharic,15,62.5,Amharic,11,39.28571319580078,Amharic,1,-0.54,0.77,-1.71,0,0,0,4,39,2,1,0,0,NA,1,3,4,1,4,0.5611110925674438,0.3333333432674408,0.75,0.6000000238418579,1,1,1,0,1,0,NA,NA,1,0,1,13,Addis Ababa,10,10,10,10,4,0,1,NA,1,NA,0,0,0
21034,Male,Oromo,Amharic,2,1,7,Amharic,183,3,Amharic,Amharic,17,70.83333587646484,Amharic,16,57.14285659790039,Amharic,1,-3.5,-3.5,-1.34,2,2,0,3,35,2,1,0,0,NA,0,3,2,1,8,0.4236111044883728,0.2708333432674408,0.5,0.5,1,0,1,0,0,0,4,10,1,NA,NA,NA,Addis Ababa,10,10,10,10,3,NA,NA,NA,NA,NA,0,0,0
