child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,raw_lang,perco_lang,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,IMTI,E_is
161004,Female,Hadiya,Hadiya,2,0,8,Hadiya,122,3,NA,NA,NA,NA,NA,Hadiya,2,-1.58,-0.58,-1.92,0,0,0,0,24,2,1,0,1,2,8,0.15694443881511688,0.02083333395421505,0.25,0.20000000298023224,0,1,0,0,1,1,NA,NA,NA,SNNP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.5
161005,Male,Hadiya,Hadiya,2,0,11,Hadiya,104,6,Wolayta,11,45.83333206176758,16,57.14285659790039,Wolayta,2,-3.7600000000000002,-4.11,-1,2,2,0,0,38,2,1,1,1,2,7,0.23333333432674408,0,0.5,0.20000000298023224,1,1,0,0,1,1,NA,NA,NA,SNNP,8,8,8,8,0,NA,NA,NA,NA,NA,0,0
161006,Male,Hadiya,Hadiya,2,0,10,Hadiya,141,0,Hadiya,9,37.5,6,21.428571701049805,Hadiya,2,-1.01,-1.2,-0.33,0,0,0,0,26,2,1,1,1,2,6,0.21851852536201477,0.0555555559694767,0.5,0.10000000149011612,1,1,0,0,1,1,10,1,12,SNNP,6,6,6,6,0,1,1,NA,0,0,4,0.5
161007,Female,Hadiya,Hadiya,2,0,10,Hadiya,127,0,Hadiya,11,45.83333206176758,4,14.285714149475098,Hadiya,2,-1.36,-0.8,-1.33,0,0,0,0,38,2,1,1,1,2,6,0.2518518567085266,0.0555555559694767,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,1,SNNP,7,10,7,10,0,0,NA,1,0,0,4,0.5
161008,Male,Hadiya,Hadiya,2,0,11,Hadiya,139,0,Hadiya,11,45.83333206176758,4,14.285714149475098,Hadiya,2,-4.28,-3.62,-2.68,2,2,1,0,46,2,1,1,1,2,12,0.2759259343147278,0.02777777798473835,0.5,0.30000001192092896,1,1,0,0,1,1,4,1,1,SNNP,5,6,5,6,0,1,NA,1,0,0,4,0.5
161009,Male,Hadiya,Hadiya,2,0,10,Hadiya,148,3,Hadiya,14,58.33333206176758,15,53.57143020629883,Hadiya,2,-0.4,0.1,-0.75,0,0,0,0,69,2,3,1,1,2,2,0.17777778208255768,0.0833333358168602,0.25,0.20000000298023224,1,0,0,0,1,1,0,1,11,SNNP,8,11,8,11,0,0,NA,1,NA,1,4,0.5
161010,Male,Hadiya,Hadiya,6,0,10,Hadiya,161,9,Hadiya,13,54.16666793823242,10,35.71428680419922,Hadiya,2,-1.86,-0.35000000000000003,-2.73,0,0,1,3,28,2,1,0,1,2,5,0.2888889014720917,0.06666667014360428,0.5,0.30000001192092896,1,1,0,0,1,1,10,1,13,SNNP,7,7,7,7,3,1,1,NA,1,NA,4,0.5
161011,Male,Hadiya,Hadiya,2,0,10,Hadiya,144,0,Hadiya,11,45.83333206176758,12,42.85714340209961,Hadiya,2,-3.12,-1.87,-2.91,2,0,1,0,38,2,1,1,1,2,10,0.3055555522441864,0.01666666753590107,0.5,0.4000000059604645,1,1,0,0,1,1,0,1,1,SNNP,7,8,7,8,0,0,NA,1,0,0,4,0.5
161012,Female,Hadiya,Hadiya,2,0,13,Hadiya,100,0,NA,NA,NA,NA,NA,Hadiya,2,-1.3900000000000001,-1.27,-0.91,0,0,0,2,27,2,1,0,1,2,9,0.20617283880710602,0.018518518656492233,0.5,0.10000000149011612,1,1,0,0,1,1,NA,NA,NA,SNNP,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.5
161013,Female,Hadiya,Hadiya,2,0,10,Hadiya,101,2,NA,NA,NA,NA,NA,Hadiya,2,-0.41000000000000003,-0.98,0.2,0,0,0,0,38,2,1,1,1,2,7,0.24126984179019928,0.02380952425301075,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,19,SNNP,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.5
